Country/Region,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Isle of Man,1605.00,0.00,29.00,0.00,1569.00,0.00,7.00,1.00,18777.00,339.00,66925.00,782968.00,85476.00
Israel,840823.00,0.00,6429.00,0.00,833237.00,0.00,1157.00,26.00,90159.00,689.00,14891479.00,1596770.00,9326000.00
Italy,4257289.00,0.00,127458.00,0.00,4072099.00,0.00,57732.00,298.00,70515.00,2111.00,70994111.00,1175902.00,60374174.00
CÃ´te d'Ivoire,48176.00,0.00,311.00,0.00,47749.00,0.00,116.00,0.00,1783.00,12.00,701511.00,25965.00,27017938.00
Jamaica,49964.00,0.00,1057.00,0.00,29647.00,0.00,19260.00,9.00,16801.00,355.00,433091.00,145631.00,2973893.00
Japan,794457.00,1625.00,14657.00,31.00,761912.00,1669.00,17888.00,567.00,6300.00,116.00,16221298.00,128644.00,126094620.00
Jordan,749319.00,0.00,9718.00,0.00,733113.00,0.00,6488.00,470.00,72730.00,943.00,7789302.00,756042.00,10302735.00
Kazakhstan,418172.00,1730.00,4306.00,11.00,391596.00,1025.00,22270.00,221.00,22012.00,227.00,11575012.00,609293.00,18997440.00
Kenya,182393.00,0.00,3574.00,0.00,124392.00,0.00,54427.00,113.00,3320.00,65.00,1940066.00,35318.00,54932100.00
Kuwait,349923.00,0.00,1919.00,0.00,329423.00,0.00,18581.00,265.00,80765.00,443.00,2921345.00,674271.00,4332595.00
Kyrgyzstan,120865.00,992.00,1977.00,6.00,108465.00,550.00,10423.00,102.00,18230.00,298.00,1280949.00,193209.00,6629853.00
Latvia,137210.00,41.00,2503.00,0.00,133489.00,0.00,1218.00,41.00,73547.00,1342.00,2882468.00,1545062.00,1865600.00
Lebanon,544291.00,0.00,7841.00,0.00,531749.00,0.00,4701.00,54.00,80098.00,1154.00,4731376.00,696273.00,6795293.00
Lesotho,11239.00,0.00,329.00,0.00,6447.00,0.00,4463.00,0.00,5206.00,152.00,109260.00,50608.00,2158956.00
Liberia,3529.00,0.00,113.00,0.00,2274.00,0.00,1142.00,2.00,682.00,22.00,116349.00,22487.00,5174134.00
Libya,192470.00,241.00,3187.00,2.00,177600.00,242.00,11683.00,0.00,27641.00,458.00,1110248.00,159448.00,6963082.00
Lithuania,278674.00,17.00,4380.00,1.00,267349.00,14.00,6945.00,47.00,103799.00,1631.00,3735542.00,1391392.00,2684752.00
Luxembourg,70600.00,0.00,818.00,0.00,69596.00,0.00,186.00,2.00,111011.00,1286.00,3059505.00,4810732.00,635975.00
Madagascar,42194.00,0.00,906.00,0.00,40569.00,0.00,719.00,67.00,1486.00,32.00,212900.00,7500.00,28387951.00
Malawi,35554.00,0.00,1181.00,0.00,33013.00,0.00,1360.00,40.00,1813.00,60.00,264148.00,13467.00,19613880.00
Malaysia,734048.00,5586.00,4944.00,60.00,667709.00,4777.00,61395.00,886.00,22398.00,151.00,14344758.00,437694.00,32773461.00
Mali,14414.00,0.00,525.00,0.00,10054.00,0.00,3835.00,0.00,692.00,25.00,316220.00,15187.00,20821357.00
Mauritania,20604.00,0.00,486.00,0.00,19623.00,0.00,495.00,16.00,4320.00,102.00,301181.00,63150.00,4769289.00
Mauritius,1833.00,0.00,18.00,0.00,1411.00,0.00,404.00,0.00,1439.00,14.00,358675.00,281568.00,1273847.00
Mexico,2503408.00,5051.00,232521.00,175.00,1988096.00,2637.00,282791.00,4798.00,19218.00,1785.00,7446966.00,57168.00,130264582.00
Moldova,256527.00,0.00,6183.00,0.00,249518.00,0.00,826.00,46.00,63738.00,1536.00,1244547.00,309226.00,4024718.00
Mongolia,109694.00,2432.00,518.00,13.00,69958.00,1207.00,39218.00,126.00,32940.00,156.00,3227599.00,969215.00,3330117.00
Montenegro,100168.00,0.00,1609.00,0.00,98280.00,0.00,279.00,6.00,159467.00,2562.00,446210.00,710363.00,628144.00
Morocco,529224.00,0.00,9273.00,0.00,515863.00,0.00,4088.00,118.00,14173.00,248.00,6785755.00,181726.00,37340543.00
Mozambique,74704.00,0.00,867.00,0.00,70599.00,0.00,3238.00,32.00,2326.00,27.00,588470.00,18325.00,32112146.00
Myanmar,152356.00,0.00,3290.00,0.00,135050.00,0.00,14016.00,0.00,2782.00,60.00,2706955.00,49425.00,54768756.00
Namibia,83698.00,0.00,1345.00,0.00,63357.00,0.00,18996.00,81.00,32365.00,520.00,513983.00,198752.00,2586053.00
Nepal,632326.00,0.00,8975.00,0.00,581327.00,0.00,42024.00,0.00,21326.00,303.00,3317039.00,111869.00,29651001.00
Netherlands,1682773.00,0.00,17740.00,0.00,1619726.00,0.00,45307.00,157.00,97994.00,1033.00,14596733.00,850020.00,17172221.00
New Caledonia,129.00,0.00,0.00,0.00,58.00,0.00,71.00,0.00,448.00,0.00,34704.00,120418.00,288197.00
New Zealand,2729.00,0.00,26.00,0.00,2682.00,0.00,21.00,0.00,546.00,5.00,2261870.00,452184.00,5002100.00
Nicaragua,7920.00,0.00,189.00,0.00,4225.00,0.00,3506.00,0.00,1182.00,28.00,0.00,0.00,6702016.00
Niger,5478.00,0.00,193.00,0.00,5200.00,0.00,85.00,2.00,219.00,8.00,116868.00,4663.00,25061861.00
Nigeria,167465.00,0.00,2119.00,0.00,163946.00,0.00,1400.00,11.00,793.00,10.00,2266591.00,10735.00,211142863.00
Macedonia,155669.00,0.00,5484.00,0.00,149950.00,0.00,235.00,25.00,74723.00,2632.00,870380.00,417791.00,2083290.00
Norway,130543.00,0.00,792.00,0.00,88952.00,0.00,40799.00,9.00,23896.00,145.00,6043353.00,1106244.00,5462947.00
Oman,256542.00,0.00,2848.00,0.00,224077.00,0.00,29617.00,464.00,49017.00,544.00,1550000.00,296153.00,5233784.00
Pakistan,954743.00,901.00,22211.00,23.00,900291.00,1347.00,32241.00,1941.00,4241.00,99.00,14416394.00,64045.00,225099059.00
Palestine,313520.00,0.00,3556.00,0.00,307236.00,0.00,2728.00,6.00,60089.00,682.00,1889327.00,362107.00,5217596.00
Panama,399877.00,0.00,6514.00,0.00,381549.00,0.00,11814.00,84.00,91266.00,1487.00,2952703.00,673910.00,4381453.00
